dialogueNumber,time,text,emotion_tone_sadness,emotion_tone_joy,emotion_tone_fear,emotion_tone_anger,emotion_tone_disgust,social_tone_openness_big5,social_tone_conscientiousness_big5,social_tone_agreeableness_big5,social_tone_extraversion_big5,social_tone_emotional_range_big5,language_tone_analytical,language_tone_tentative,language_tone_confident
95,"00:07:39,334 --> 00:07:41,545
","There are diamonds everywhere. 2400.

",0.506677,0.184134,0.235131,0.044626,0.092009,0.626251,0.275573,0.592596,0.574567,0.256403,0.0,0.0,0.0
96,"00:07:41,753 --> 00:07:42,880
","All right.

",0.0,1.0,0.0,0.0,0.0,0.595884,0.324636,0.635283,0.638687,0.470529,0.0,0.998976,0.0
97,"00:07:43,088 --> 00:07:45,841
","The trucks are waiting.
The men are waiting. Everything--

",0.085792,0.430885,0.331116,0.121854,0.125728,0.644271,0.172975,0.519394,0.523903,0.286435,0.0,0.0,0.0
98,"00:07:46,008 --> 00:07:48,886
","[MEN SPEAKING IN GERMAN]

",0.296058,0.195158,0.251134,0.093673,0.24362,0.395657,0.274156,0.597702,0.548275,0.236621,0.0,0.0,0.0
99,"00:07:49,928 --> 00:07:51,972
","It's the fishing smack <i>Santiago.</i>

",0.071087,0.441557,0.116375,0.088465,0.320919,0.63035,0.169367,0.436809,0.505374,0.678289,0.0,0.0,0.0
100,"00:07:52,139 --> 00:07:56,560
","It leaves at 1 tomorrow night, here
from the end of La Medina. Third boat.

",0.413728,0.155724,0.413945,0.029603,0.04703,0.196209,0.325721,0.551114,0.186151,0.314179,0.0,0.0,0.0
101,"00:07:56,727 --> 00:08:00,022
","- Thank you. Thank you.
- And bring 15,000 francs in cash.

",0.144054,0.650659,0.20648,0.016237,0.05658,0.483893,0.531402,0.953505,0.86399,0.904222,0.0,0.0,0.0
102,"00:08:00,230 --> 00:08:02,483
","Remember, in cash.

",0.341158,0.547119,0.069308,0.036392,0.091049,0.065673,0.266408,0.611428,0.553355,0.502573,0.955445,0.0,0.0
103,"00:08:02,649 --> 00:08:05,652
","[SPEAKING IN CANTONESE]

",0.201496,0.33907,0.262402,0.168435,0.096358,0.345544,0.251194,0.587838,0.548665,0.060747,0.0,0.0,0.0
104,"00:08:07,196 --> 00:08:09,072
","[SPEAKS INDISTINCTLY]

",0.118266,0.27985,0.310973,0.264954,0.071652,0.282387,0.270608,0.602503,0.538549,0.151029,0.0,0.984352,0.0
105,"00:08:09,239 --> 00:08:10,365
","Cheerio.

",0.0,0.0,0.0,0.0,0.0,0.068939,0.145665,0.461938,0.270129,0.000114,0.0,0.0,0.0
106,"00:08:11,241 --> 00:08:14,077
","CARL: Open up, Abdul.
- Yes, professor.

",0.100398,0.673713,0.145352,0.069445,0.07369,0.109134,0.167138,0.646673,0.570562,0.180546,0.991164,0.0,0.0
107,"00:08:23,545 --> 00:08:24,796
","- Waiter?
- Yes, madame?

",0.138989,0.711546,0.075818,0.061498,0.085925,0.318463,0.130321,0.605622,0.454768,0.270526,0.0,0.0,0.0
108,"00:08:25,005 --> 00:08:27,674
","Will you ask Rick
if he'll have a drink with us?

",0.27787,0.302286,0.153029,0.111002,0.249472,0.599655,0.717871,0.828088,0.783168,0.909912,0.829888,0.0,0.0
109,"00:08:28,008 --> 00:08:31,345
","He never drinks with customers.
Never. I have never seen it.

",0.426926,0.200269,0.218902,0.093505,0.122061,0.016576,0.385135,0.722192,0.209684,0.664583,0.0,0.0,0.988894
110,"00:08:32,179 --> 00:08:34,389
","WOMAN:
What makes saloonkeepers so snobbish?

",0.041889,0.556553,0.01065,0.142979,0.337381,0.055939,0.00751,0.732183,0.798692,0.000188,0.0,0.0,0.0
111,"00:08:34,598 --> 00:08:35,849
","Perhaps if you told him...

",0.08373,0.272984,0.163159,0.234806,0.363215,0.693557,0.38728,0.771377,0.515502,0.684273,0.882284,0.968123,0.0
112,"00:08:36,016 --> 00:08:38,602
","...I ran the second-largest
banking house in Amsterdam.

",0.392892,0.324483,0.155714,0.190439,0.025809,0.015585,0.155321,0.40579,0.549619,0.651742,0.0,0.0,0.0
113,"00:08:38,769 --> 00:08:41,271
","Second largest?
That wouldn't impress Rick.

",0.392789,0.198017,0.243553,0.180804,0.088721,0.10439,0.111484,0.476674,0.477181,0.765128,0.952933,0.0,0.0
114,"00:08:41,438 --> 00:08:44,983
","The leading banker in Amsterdam
is now the pastry chef in our kitchen.

",0.071447,0.573538,0.137655,0.218172,0.047137,0.56911,0.161388,0.48336,0.613076,0.573886,0.77494,0.0,0.0
115,"00:08:45,192 --> 00:08:47,694
","We have something
to look forward to.

",0.238995,0.598994,0.039104,0.148177,0.033033,0.014278,0.183235,0.703444,0.299644,0.281103,0.0,0.991679,0.0
116,"00:08:48,987 --> 00:08:51,198
","And his father is the bellboy.

",0.366672,0.31628,0.184184,0.061608,0.155079,0.785448,0.424851,0.585764,0.552559,0.663433,0.0,0.0,0.0
117,"00:08:53,534 --> 00:08:55,410
","Monsieur.

",0.0,0.0,0.0,0.0,0.0,0.289157,0.274434,0.599483,0.543325,0.290914,0.0,0.0,0.0
118,"00:09:20,978 --> 00:09:22,396
","Excuse me.

",0.096942,0.444532,0.251063,0.147656,0.123984,0.337925,0.274803,0.599421,0.546648,0.236907,0.0,0.0,0.0
119,"00:09:24,815 --> 00:09:27,025
","I'm sorry, sir.
This is a private room.

",0.291923,0.045185,0.081638,0.30102,0.404596,0.073126,0.056594,0.725615,0.521083,0.171479,0.0,0.0,0.0
120,"00:09:27,317 --> 00:09:30,821
","Of all the nerve. Who do you think--?
I know there is gambling in there.

",0.283648,0.095974,0.362104,0.089202,0.244748,0.863285,0.2366,0.429528,0.511001,0.543043,0.920556,0.0,0.957479
121,"00:09:31,488 --> 00:09:34,157
","- You dare not keep me out.
RICK: Yes? What's the trouble?

",0.233793,0.180883,0.239704,0.341716,0.109386,0.397233,0.316513,0.651124,0.688143,0.653971,0.0,0.0,0.0
122,"00:09:34,324 --> 00:09:37,327
","I have been in every gambling room
between Honolulu and Berlin.

",0.138629,0.462696,0.187526,0.120393,0.177907,0.446176,0.11553,0.640281,0.8087,0.34312,0.0,0.0,0.975399
123,"00:09:37,536 --> 00:09:40,539
","And if you think I'm going to be kept out
of a saloon like this...

",0.435212,0.226862,0.147858,0.195165,0.122104,0.831853,0.394719,0.889287,0.624653,0.069919,0.920556,0.808202,0.0
124,"00:09:40,706 --> 00:09:41,832
","...you're much mistaken.

",0.365873,0.346271,0.118638,0.109441,0.127002,0.356679,0.264909,0.599986,0.570698,0.105289,0.0,0.0,0.0
125,"00:09:41,999 --> 00:09:43,709
","Excuse me, please.
Hello, Rick.

",0.092979,0.330204,0.395319,0.156421,0.090878,0.39444,0.147203,0.620889,0.516264,0.107583,0.0,0.0,0.0
126,"00:09:46,378 --> 00:09:48,171
","Your cash is good at the bar.

",0.184209,0.400491,0.277514,0.071925,0.148894,0.595865,0.526218,0.47467,0.941767,0.984057,0.0,0.0,0.0
127,"00:09:48,505 --> 00:09:50,340
","What? Do you know who I am?

",0.313049,0.223538,0.304094,0.145788,0.095011,0.110337,0.39808,0.673069,0.2842,0.253819,0.801827,0.0,0.0
