dialogueNumber,time,text,emotion_tone_sadness,emotion_tone_joy,emotion_tone_fear,emotion_tone_anger,emotion_tone_disgust,social_tone_openness_big5,social_tone_conscientiousness_big5,social_tone_agreeableness_big5,social_tone_extraversion_big5,social_tone_emotional_range_big5,language_tone_analytical,language_tone_tentative,language_tone_confident
105,"00:08:36,766 --> 00:08:39,100
","Remember, Dad, the Lou
Gehrig line from, uh...

",0.531497,0.158541,0.144766,0.112396,0.158942,0.03855,0.027048,0.791471,0.800208,0.395164,0.932961,0.0,0.569284
106,"00:08:39,268 --> 00:08:40,769
","Pride of the Yankees.
Pride of the Yankees.

",0.305249,0.536046,0.062311,0.063801,0.069931,0.533874,0.133027,0.606281,0.448004,0.540277,0.0,0.0,0.0
107,"00:08:40,937 --> 00:08:42,229
","Pride of the Yankees!
Yeah. Yeah.

",0.228578,0.59865,0.066621,0.061151,0.081472,0.755033,0.162473,0.634768,0.473639,0.857498,0.0,0.0,0.0
108,"00:08:42,396 --> 00:08:45,690
","Baseball. It's baseball.
Historical reference.

",0.258863,0.519371,0.130857,0.073917,0.080342,0.728347,0.130552,0.604349,0.456634,0.400564,0.970663,0.0,0.0
109,"00:08:45,858 --> 00:08:47,776
","I would like to propose
a toast.

",0.497848,0.312333,0.057205,0.047784,0.15694,0.206588,0.124343,0.629431,0.363203,0.50699,0.989679,0.952443,0.0
110,"00:08:47,944 --> 00:08:50,612
","ALL: Hear, hear.
To my kid sister.

",0.376692,0.488391,0.04964,0.020105,0.147047,0.025892,0.077669,0.709548,0.629058,0.144172,0.0,0.0,0.989922
111,"00:08:50,780 --> 00:08:53,615
","To Walter and my baby.

",0.30746,0.594729,0.063109,0.052241,0.036871,0.186077,0.471506,0.815413,0.892943,0.482063,0.0,0.0,0.0
112,"00:08:53,783 --> 00:08:55,951
","BARBARA:
To Walter and Annie.

",0.200811,0.578527,0.137155,0.084957,0.088346,0.446937,0.134053,0.6649,0.605246,0.101007,0.0,0.0,0.0
113,"00:08:58,120 --> 00:09:01,957
","Everyone, please eat
before it gets cold.

",0.630509,0.082088,0.04232,0.221003,0.101186,0.104731,0.247272,0.649368,0.163267,0.161714,0.0,0.0,0.0
114,"00:09:04,544 --> 00:09:08,672
","Here it is. The Historical
Society wanted this

",0.555753,0.130789,0.283268,0.04087,0.050358,0.997281,0.320419,0.698133,0.317491,0.496981,0.0,0.0,0.0
